HR(t),Cal(t),Inte(t),METs(t),Steps(t),HR(t-1),Cal(t-1),Inte(t-1),METs(t-1),Steps(t-1),HR(t-2),Cal(t-2),Inte(t-2),METs(t-2),Steps(t-2),HR(t)_disc,Cal(t)_disc,Inte(t)_disc,METs(t)_disc,Steps(t)_disc,HR(t-1)_disc,Cal(t-1)_disc,Inte(t-1)_disc,METs(t-1)_disc,Steps(t-1)_disc,HR(t-2)_disc,Cal(t-2)_disc,Inte(t-2)_disc,METs(t-2)_disc,Steps(t-2)_disc
-1.0380248561200458,-0.5227248516047438,-0.6565893867433013,-0.5227248495109525,-0.5292096487237697,0.889776579159269,0.9444986747320077,0.5900549955533133,0.9444986745337792,-0.2393406902428202,1.770369845649789,0.594588683935715,0.5934912170139123,0.5945886142872099,0.020975162131014226,0,1,0,1,0,1,2,1,2,1,2,1,1,1,1
-1.0380248561200458,-0.6990577729312084,-0.6565893867433013,-0.6990578056946851,-0.5292096487237697,-1.0382427959665506,-0.523548516292632,-0.6565893867433013,-0.5235485143154411,-0.5296483077094096,0.8873749966172945,0.9467908550215154,0.5934912170139123,0.9467908550297169,-0.23706916507904474,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
-1.1168928343110847,-0.6990577729312084,-0.6565893867433013,-0.6990578056946851,-0.5292096487237697,-1.0382427959665506,-0.6997141441370417,-0.6565893867433013,-0.6997141769773476,-0.5296483077094096,-1.0374679076755853,-0.5207184833834934,-0.6530154098707648,-0.5207184813973957,-0.5273690331903611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.3499118607846121,0.12382930579696598,0.5900549955533133,0.12382932316273362,-0.30329265606944267,-1.1170837369568243,-0.6997141441370417,-0.6565893867433013,-0.6997141769773476,-0.5296483077094096,-1.0374679076755853,-0.6968195689263992,-0.6530154098707648,-0.6968196017686492,-0.5273690331903611,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
-1.222391558384818,-0.6990577729312084,-0.6565893867433013,-0.6990578056946851,-0.5292096487237697,-1.3500228807917274,0.12239223156810738,0.5900549955533133,0.12239224877821583,-0.30385349412428453,-1.1161789558065196,-0.6968195689263992,-0.6530154098707648,-0.6968196017686492,-0.5273690331903611,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
-0.5433075383762455,0.241384631696486,0.5900549955533133,0.24138462728522203,-0.10964951950859088,-1.222546294385378,-0.6997141441370417,-0.6565893867433013,-0.6997141769773476,-0.5296483077094096,-1.348734325284283,0.12498560933053997,0.5934912170139123,0.12498562663053385,-0.3015802468815595,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1
-0.07009966923000574,0.12382930579696598,0.5900549955533133,0.12382932316273362,-0.23874494388249207,-0.5436950752093681,0.2398360284368832,0.5900549955533133,0.23983602388615347,-0.1103150824798916,-1.2214677604492035,-0.6968195689263992,-0.6530154098707648,-0.6968196017686492,-0.5273690331903611,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
0.25254205973334093,0.241384631696486,0.5900549955533133,0.24138462728522203,-0.04510180732164029,-0.07064942926771951,0.12239223156810738,0.5900549955533133,0.12239224877821583,-0.2393406902428202,-0.5437349693997147,0.2423863779818365,0.5934912170139123,0.24238637354470285,-0.10804700147401525,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1
0.6719763073856917,0.47649528349551495,0.5900549955533133,0.47649523553019885,0.14854132923921148,0.49557187420789417,0.7096110809944671,0.5900549955533133,0.709611124317904,0.85737697574207306,-0.14660195382999847,-0.6381192520347844,-0.6530154098707648,-0.6381192283115648,-0.5273690331903611,2,1,1,1,2,1,2,1,2,2,1,0,0,0,0
0.2801970650730547,0.711605800248924,0.5900549955533133,0.7116058437751757,0.4390060340804891,0.6711721518680509,0.47472362217442376,0.5900549955533133,0.47472357410202876,0.14773613304596564,0.4938197559626173,0.7119893177189334,0.5934912170139123,0.7119893612013789,0.8596192255637058,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1
